num#_323	170	169		dirset	dirset	1
num#_323	596	589		condition	condition	1
num#_323	446	445		path	path	1
num#_323	659	1		target	target	1
num#_323	297	296		condition	condition	1
num#_323	507	506		nbjpdareload	nbjpdareload	1
num#_323	595	589		property	property	1
num#_323	867	1		target	target	1
num#_323	838	835	http://www.netbeans.org/ns/j2se-project/3	javac	j2seproject3:javac	1
num#_323	202	201		src	src	1
num#_323	475	474		attribute	attribute	1
num#_323	414	411		condition	condition	1
num#_323	608	607		property	property	1
num#_323	602	599		condition	condition	1
num#_323	665	1		target	target	1
num#_323	858	857		fail	fail	1
num#_323	590	589		property	property	1
num#_323	397	396		macrodef	macrodef	1
num#_323	609	607		delete	delete	1
num#_323	743	740		nbprofiledirect	nbprofiledirect	1
num#_323	393	381		jvmarg	jvmarg	1
num#_323	575	574		flattenmapper	flattenmapper	1
num#_323	684	683		isset	isset	1
num#_323	275	273		junit	junit	1
num#_323	359	353		sequential	sequential	1
num#_323	583	582		attribute	attribute	1
num#_323	456	451		attribute	attribute	1
str#_322	3	1		import	import	1
num#_323	146	145		macrodef	macrodef	1
num#_323	316	310		sequential	sequential	1
num#_323	288	1		target	target	1
num#_323	784	1		target	target	1
num#_323	734	1		target	target	1
num#_323	735	734		fail	fail	1
num#_323	795	793		startprofiler	startprofiler	1
num#_323	163	152		element	element	1
num#_323	485	480		arg	arg	1
num#_323	423	419		arg	arg	1
num#_323	836	835		fail	fail	1
num#_323	380	379		property	property	1
num#_323	257	255		junit	junit	1
num#_323	613	612		mkdir	mkdir	1
num#_323	774	773		or	or	1
num#_323	910	909		property	property	1
num#_323	899	897		touch	touch	1
num#_323	229	222		echo	echo	1
num#_323	432	431	http://www.netbeans.org/ns/j2se-project/3	testng-debug	j2seproject3:testng-debug	1
num#_323	411	407		sequential	sequential	1
num#_323	284	275		formatter	formatter	1
num#_323	143	134		fail	fail	1
num#_323	777	1		target	target	1
num#_323	115	19		property	property	1
num#_323	238	236		not	not	1
num#_323	405	404		customize	customize	1
num#_323	66	65		available	available	1
num#_323	917	916		ant	ant	1
num#_323	787	785		startprofiler	startprofiler	1
num#_323	406	1		target	target	1
num#_323	314	310		attribute	attribute	1
num#_323	837	835	http://www.netbeans.org/ns/j2se-project/3	force-recompile	j2seproject3:force-recompile	1
num#_323	766	765		path	path	1
num#_323	198	186		sequential	sequential	1
num#_323	600	599		condition	condition	1
num#_323	840	839		fileset	fileset	1
num#_323	615	612		property	property	1
num#_323	559	551		syspropertyset	syspropertyset	1
num#_323	535	530		redirector	redirector	1
num#_323	905	904		delete	delete	1
num#_323	428	427		attribute	attribute	1
num#_323	101	19		path	path	1
bis#_19	8	4	http://www.netbeans.org/ns/j2se-project/3	test-roots	test-roots	1
num#_323	181	168		compilerarg	compilerarg	1
num#_323	528	525		element	element	1
num#_323	233	232		fileset	fileset	1
num#_323	679	676		property	property	1
num#_323	707	705	http://www.netbeans.org/ns/j2se-project/1	java	j2seproject1:java	1
num#_323	91	90		and	and	1
num#_323	772	1		target	target	1
num#_323	309	1		target	target	1
num#_323	629	628		dirset	dirset	1
num#_323	21	19		available	available	1
num#_323	368	361		jvmarg	jvmarg	1
num#_323	825	1		target	target	1
num#_323	361	359		junit	junit	1
num#_323	622	1		target	target	1
num#_323	355	353		attribute	attribute	1
num#_323	260	259		propertyref	propertyref	1
num#_323	588	587	http://www.netbeans.org/ns/j2se-project/1	fileset	j2seproject1:fileset	1
num#_323	184	168		customize	customize	1
num#_323	106	105		equals	equals	1
num#_323	389	387		mapper	mapper	1
num#_323	193	186		attribute	attribute	1
num#_323	860	1		target	target	1
num#_323	227	224		globmapper	globmapper	1
num#_323	533	530		jvmarg	jvmarg	1
num#_323	110	109		and	and	1
num#_323	778	777		startprofiler	startprofiler	1
num#_323	786	785		fail	fail	1
num#_323	879	878	http://www.netbeans.org/ns/j2se-project/1	nbjpdareload	j2seproject1:nbjpdareload	1
num#_323	161	152		attribute	attribute	1
num#_323	445	444		classpath	classpath	1
num#_323	79	19		property	property	1
num#_323	635	634		fileset	fileset	1
num#_323	688	1		target	target	1
num#_323	863	860	http://www.netbeans.org/ns/j2se-project/3	test	j2seproject3:test	1
num#_323	226	225		filelist	filelist	1
num#_323	155	152		attribute	attribute	1
num#_323	171	170		include	include	1
num#_323	630	629		include	include	1
num#_323	854	1		target	target	1
num#_323	343	339		attribute	attribute	1
num#_323	382	381		batchtest	batchtest	1
num#_323	407	406		macrodef	macrodef	1
num#_323	758	757		classpath	classpath	1
num#_323	508	507		fileset	fileset	1
num#_323	897	1		target	target	1
num#_323	234	1		target	target	1
num#_323	262	257		formatter	formatter	1
num#_323	716	1		target	target	1
num#_323	698	697		customize	customize	1
num#_323	370	361		jvmarg	jvmarg	1
num#_323	618	617		entry	entry	1
num#_323	653	1		target	target	1
num#_323	219	218		path	path	1
num#_323	121	120		available	available	1
num#_323	717	1		target	target	1
num#_323	918	917		propertyset	propertyset	1
bis#_19	1	-1	http://www.netbeans.org/ns/project/1	project	project	1
num#_323	658	656		copy	copy	1
