<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/assign/1	5	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/new simplejavacalculator.Calculator$MonoOperatorModes/1	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack1	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	26	0
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/assign/4	20	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/new simplejavacalculator.Calculator$BiOperatorModes/4	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stack4	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>	22	0
<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/fresh-null-assign/4	12	minus	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>/$stringconstant2	<simplejavacalculator.Calculator$BiOperatorModes: void <clinit>()>	22	0
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/assign/2	10	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/new simplejavacalculator.Calculator$MonoOperatorModes/2	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack2	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	26	0
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/assign/7	35	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/new simplejavacalculator.Calculator$MonoOperatorModes/7	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack7	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	26	0
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/fresh-null-assign/0	2	square	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stringconstant0	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	26	0
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/assign/3	15	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/new simplejavacalculator.Calculator$MonoOperatorModes/3	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stack3	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	26	0
<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/fresh-null-assign/16	42	abs	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>/$stringconstant8	<simplejavacalculator.Calculator$MonoOperatorModes: void <clinit>()>	26	0
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/2	8	2	<simplejavacalculator.UI: void <init>()>/$stringconstant2	<simplejavacalculator.UI: void <init>()>	56	1
<simplejavacalculator.UI: void <init>()>/assign/1	2	<simplejavacalculator.UI: void <init>()>/new java.lang.String[]/0	<simplejavacalculator.UI: void <init>()>/$stack2	<simplejavacalculator.UI: void <init>()>	56	1
